,date,author,text,title,stars,location,url,language
0,2022-04-22,Nathalie,"I recently decided to have my teeth corrected. The contact so far has been really phenomenal- fast and very professional. The price-performance ratio is really good, so I have now ordered the dental trays and can’t wait to see the result.",Very satisfied,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
1,2022-04-22,Sofia Capraro,Great experience! The customer service has always been super nice and helpful. I had an IPR done and everything went smoothly. The box arrived on time and so far the treatment is going well. It doesn't hurt at all! Which is amazing. Thank you for bringing my smile back :),Thank you for bringing my smile back :),5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
2,2022-04-22,Andreia Silva,very happy with the service!,very happy with the service!,5,LU,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
3,2022-04-25,LyBe,"Easy process, incredible technology, should have done this earlier:)","Easy process, incredible technology",5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
4,2022-04-29,Samy,"Great Service with consultant Tony!
He guided me through all steps and answered each tiny question. 
Now I have ordered the wished package and await delivery 😀",Great Service with consultant Tony!,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
5,2022-04-29,Jascha Weber,"Two time's a charm. On my first try (1 1/2 yrs ago) I didn't get any feedback with no help after apparently my scan somehow got lost. This time smooth process so far. Got a good deal also, so no complaints so far.",Two time's a charm,4,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
6,2022-04-30,zuza,"customer care always available, easy to understand but result is not like expected",okay,3,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
7,2022-05-02,Eleonora,"Went through the whole aligners treatment 6months following step by step for the whole purpose of aligning one front tooth (about 2500€ for this purpose). At the end of the treatment, the tooth is still in the same offset position. Asked PlusDental what to do next and their answer was that the position was the best one possible and that I had to order a retainer for 99€ to keep everything in position and that not always the result is as someone wishes. I answered them that buying a retainer for an unsatisfied position sounded like a joke and got back a simple “sorry we couldn’t satisfy your request”. So I lost 2500€ and my time!",Waste of money and time!,1,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
8,2022-05-03,Saumya Sadanand,"The 3D scan facility at plus dental is very unique and interesting. I was comfortable and calm the entire time I was in there, and the team made sure of that :)",The 3D scan facility at plus dental is…,4,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
9,2022-05-03,Sorin,"What can i say, everything i needed to know and even some ""extras"", even though i don't speak the language perfectly, they managed to clarify everything for me. And also, they didn't keep me waiting, everything was on point.",What can i say,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
10,2022-05-04,N.H,The staff are very friendly and professional,The staff are very friendly and…,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
11,2022-05-04,Faiq Farhan,The whole experience went pretty smoothly and had no issues at all. The doctor was pretty nice and friendly.,Friendly doctor and smooth experience,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
12,2022-05-05,Maria Luz Pebes,"I was surprise by the tecnology that everything is, and how well explained were everything in english.",Good service,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
13,2022-05-05,Adv Sukhi,"Bad experiences and high prices for students. When I wanted to start my procedure. I requested them that being a student tell me the less price so I can afford it. But still, they gave me very high prices. In my last call, I said them to give me some time for thinking, because the price the very high. but without my permission, they sent me the set of braces. Now, they continuing send me messages about paying the installments.
So, it's my suggestion if you are a student, then think twice to take the services from them.",Bad experiences and high prices,1,IN,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
14,2022-05-05,Bernhard,All good and friendly,All good and friendly,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
15,2022-05-06,BS,"Everything was okay and well organized, everybody was very friendly",dentist,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
16,2022-05-06,Aidai Kazakbaeva,"Great service and very knowledgeable staff, explained everything you need to know. They care about their patients and offer the best solution for their needs.",Great service!,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
17,2022-05-08,Rob Sibhatleab,The communication with the service providers war great and the coordination with the representative  dentist was fast. The PlusDental splints arrived on time without any complications and up to now feel like they are working.,PlusDental Service evaluation,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
18,2022-05-09,Ignacio Sanhueza González,"Very Bad service. I had an appointment, which I arrived 20 minutes before, and in reception, they told me that no Dentist was available to make the service that Plusdental is offering... Unbelievable. I would not recommend this service because I lost working time in a service that I did not receive.",Very Bad service,1,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
19,2022-05-11,Siruthondan Nanmaran,"Had my first appointment, which went really well and waiting for my 3D simulation.",Had my first appointment,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,en
20,2022-04-06,Aimaq,"I could speak in three languages with the dr or the staff. German, English and Persian. Comfortable experience.",Multilingual,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
21,2022-04-06,Alice Mujawimana,"The dentist scanned my teeth just for 30min,they were friendly and explained to me about any questions I asked.
So professional scanner,you can see clearly your teeth problems",Professional scanner and not taking long,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
22,2022-04-06,G G,"I was welcomed very warmly. Then, I filled a medical form out. Followed by a scan and consulting by the dentist. I was informed well about the process. The first impression is very good.",Nice and warm first impression,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
23,2022-04-07,M,Flexible Appointments and modern infrastructure,Flexible Appointments and modern…,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
24,2022-04-07,Nynje,"I went to a dentist for the 3D scan 
Everybody was very nice and answered all of my questions happily! I'm excited to get more info on how to continue",I went to a dentist for the 3D scan,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
25,2022-04-10,A.O.,"From booking the appointment to get prepped for it, until the actual experience at the Dentist: Everything was super smooth!",Super smooth,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
26,2022-04-10,A B,"The appointment was very quick and easy. The most important factor was the ambience, the people were really nice and kind.",The appointment was very quick and…,4,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
27,2022-04-11,rijo kurian,Excellent service and affordable,Excellent service and affordable,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
28,2022-04-13,Carmen Freschetti,"The appointment started on time and the lady explaining the process and doing the 3D scan was super friendly and helpful. She was also very gentle when taking pictures with her tool. The doctor who checked me afterwards was also very friendly and seemed competent. Very good experience so far, even though I haven't started the treatment yet.",Very good experience at PlusDental Frankfurt,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
29,2022-04-13,ahmed bashir,Very friendly,Very good,4,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
30,2022-04-13,Anyu Liu,First scan done and waiting for the plan. Staff was friendly and professional. Very informative intro to let people know exactly what to expect. My husband did the same last year and the result has been great! Looking forward to my own little transformation.,Perfect for cosmetic touch,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
31,2022-04-14,Endy Nguyen,I have received the treatment plan.  But unfortunately the result was not as expected.  Only the front of the teeth can be changed.,treatment,3,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
32,2022-04-14,Opeyemi Esther Oladipo,"Starting with the customer service, the
practice have a good one and their
staffs are approachable, friendly and
reasonable. The teeth screening was
done diligently and they try as much as
possible to answer my questions. I had
a nice experience.",Good experience,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=en&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,en
